Categorie,parametre,valeur actuelle,role,priorite,robustesse,source,action recommandee,Set de valeurs à tester,Nombre de run,Nombre total de run
Vulnerabilite,vulnérability curves,all vulnerability curves,selection de la courbe vent/pluie/submersion/mouvemnt de terrain par type d'actif,Tres haute,Moyenne,backend/app/risk_engine/impact_functions_multi_hazard.py:16,revue expert rapide des affectations,Run de sensibilité à part,,25
Vulnerabilite,runoff_coeff,0.25 unique,Pluie : convertit la profondeur D2 en courbe pluie proxy en mm_proxy,Tres haute,Faible,backend/app/risk_engine/impact_functions_multi_hazard.py:217,sensibilite prioritaire et calage terrain,"0,1-0,5",2,
Systeme / interdependency,seuils d'etat directs,5% / 15% / 35%,convertit le ratio de dommage en S0-S3,Tres haute,Faible,backend/app/risk_engine/interdependency.py:10,expertiser rapidement,10%/20%/40%-10%/15%/50%,2,
Systeme / interdependency,poids de sante health,0.3 / 0.7 / 1.0,convertit les masses en etat de sante systeme,Tres haute,Faible,backend/app/risk_engine/interdependency.py:43,tester des ponderations alternatives,0.3/ 1 / 1.0-0.3 / 0.5 / 5,2,
Systeme / interdependency,seuils health -> dependency_state,0.75 / 0.55 / 0.35,convertit la sante elec en etat de dependance,Tres haute,Faible,backend/app/risk_engine/interdependency.py:61,expertiser rapidement,0.5 / 0.30 / 0.15-0.90 / 0.75 / 0.55,2,
Systeme / interdependency,uplift_by_state,0% / 10% / 25% / 45%,calcule l'EAI indirect eau a partir de l'etat de dependance,Tres haute,Faible,backend/app/risk_engine/interdependency.py:15; backend/app/risk_engine/interdependency.py:267,priorite revue expert,0% / 20% / 50% / 100%-0% / 5% / 10% / 15%,2,
Physique alea,max_dist_inland_km,2000 km,extension inland du champ pluie,Moyenne,Moyenne,backend/app/risk_engine/climada_engine.py:549,tester 200/500/1000/2000,200-1000-2000,3,
Numerique / proxy / publication,hazard_dynamic_max_tracks,1200,cap numerique sur le nombre de tracks dynamiques,Moyenne,Bonne,backend/app/config.py:55; backend/app/risk_engine/hazard_loader.py:406,traiter comme reglage numerique et non comme hypothese scientifique,100-500-800-1000,4,
Systeme / interdependency,maille territoriale electrique,0.2 deg,support spatial local pour resoudre la sante elec,Haute,Faible,backend/app/risk_engine/exposure_to_climada.py:11; backend/app/risk_engine/exposure_to_climada.py:50,tester 0.05/0.1/0.2,0.05-0.1-0.2,3,
Numerique / proxy / publication,sampling_spacing_m backend,100 m,discretisation geometrique des expositions,Haute,Moyenne,backend/app/config.py:44; backend/app/risk_engine/exposure_to_climada.py:232,tester 50/100/250,50-250,2,
Numerique / proxy / publication,climada_max_points_per_feature,300,cap de sampling par actif,Haute,Moyenne,backend/app/config.py:67; backend/app/risk_engine/exposure_to_climada.py:234,tester 100/300/1000,100-500-1000,3,
